Most Common P1,Most Common P1,Most Common P2,Most Common P2,Winter Holiday,Winter Holiday,Halloween,Halloween,Brands,Brands,Homophones,Homophones,50 States Names,50 States Names,Challenge,Challenge,Writing,Writing
you,/juː/ /jə/ /jʊ/,feel,/fiːl/,ice,/aɪs/,evil,/ˈiː.vəl/,Honda,/'hɑn.də/,blue,/bluː/,Hawaii,/həˈwaɪ.iː/,within,/wɪˈðɪn/,,
he,/hiː/ /hi/ /i/,three,/θriː/,icy,/ˈaɪ.si/,fear,/fɪr/,Hyundai,/'hʌn.daɪ/,brake,/breɪk/,Idaho,/ˈaɪ.də.hoʊ/,hill,/ˈhɪl/,,
with,/wɪð/,when,/wen/,icicle,/ˈaɪ.sɪ.kəl/,frighten,/ˈfraɪ.tən/,Infiniti,/ɪn'fɪn.ɪ.t̬i/,break,/breɪk/,Illinois,/ˌɪl.ɪˈnɔɪ/,best,/ˈbɛst/,,
do,/duː/ /du/ /də/,state,/steɪt/,frost,/frɑːst/,"ghastly ",/ˈɡæst.li/,Jaguar,/'dʒæg.waɪr/,board,/bɔːrd/,Indiana,/ˌɪn.diˈæn.ə/,breadth,/ˈbrɛtθ/,,
say,/seɪ/,never,/ˈnev.ɚ/,blizzard,/ˈblɪz.ɚd/,ghoul,/ɡuːl/,Jeep,/dʒip/,"bored ",/bɔːrd/,Iowa,/ˈaɪ.ə.wə/,above,/əˈbʌv/,,
this,/ðɪs/,become,/bɪˈkʌm/,hat,/hæt/,grim,/ɡrɪm/,Kia,/'ki.ə/,bare,/ber/,Kansas,/ˈkæn.zəs/,abrupt,/əˈbrʌpt/,,
they,/ðeɪ/,between,/bɪˈtwiːn/,scarf,/skɑːrf/,gruesome,/ˈɡruː.səm/,Land Rover,"/'lænd,roʊ.vɚ/","bear ",/ber/,Kentucky,/kənˈtʌk.i/,abyss,/əˈbɪs/,,
at,/æt/ /ət/,high,/haɪ/,mittens,/ˈmɪt̬.ənz/,Halloween,/ˌhæl.oʊˈiːn/,Lexus,/'lek.səs/,been,/biːn/,Louisiana,/luˌiː.ziˈæn.ə/,academic,/ˌækəˈdɛmɪk/,,
but,/bʌt/ /bət/,really,/ˈriː.ə.li/,sweater,/ˈswet̬.ɚ/,haunt,/hɑːnt/,Lincoln,/'lɪŋ.kən/,"bin ",/biːn/,Maine,/meɪn/,adult,/əˈdʌlt/,,
we,/wiː/ /wi/,something,/ˈsʌm.θɪŋ/,skate,/skeɪt/,hocus-pocus,/ˌhoʊ.kəsˈpoʊ.kəs/,Mazda,/'mɑz.də/,but,/bʌt/,Maryland,/ˈmer.ə.lənd/,bulb,/ˈbʌlb/,,
his,/hɪz/ /ɪz/,another,/əˈnʌð.ɚ/,ski,/skiː/,horrible,/ˈhɔːr.ə.bəl/,Mercedes-Benz,"/mər'seɪ.diz,benz/",butt,/bʌt/,Massachusetts,/ˌmæs.əˈtʃuː.sɪts/,bulk,/ˈbʌlk/,,
from,/frɑːm/,family,/ˈfæm.əl.i/,sled,/sled/,"horror ",/ˈhɔːr.ɚ/,Mitsubishi,/mɪt.sə'bi.ʃi/,die,/daɪ/,Michigan,/ˈmɪʃ.ɪ.ɡən/,butt,/ˈbʌt/,,
that,/ðæt/,own,/oʊn/,sleigh,/sleɪ/,howl,/haʊl/,Nissan,/'ni.sɑn/,"dye ",/daɪ/,Minnesota,/mɪn.ɪˈsoʊ.t̬ə/,hoof,/ˈhʊf/,,
not,/nɑːt/,out,/aʊt/,sleighbells,/sleɪ bɛlz/,macabre,/məˈkɑː.brə/,Porsche,/pɔːrʃ/,dew,/duː/,Mississippi,/ˌmɪs.ɪˈsɪp.i/,cloth,/ˈklɑːθ/,,
by,/baɪ/,leave,/liːv/,snow shovel,/snoʊ ˈʃʌv(ə)l /,magic,/ˈmædʒ.ɪk/,Subaru,/'su.bə.ru/,do,/duː/,Missouri,/mɪˈzʊr.i/,ninth,/ˈnaɪnθ/,,
she,/ʃiː/ /ʃi/,put,/pʊt/,Christmas,/ˈkrɪs.məs/,moon,/muːn/,Toyota,"/tɔi,oʊ.t̬ə/","due ",/duː/,Montana,/mɑːnˈtæn.ə/,tenth,/ˈtɛnθ/,,
or,/ɔːr/ /ɚ/,old,/oʊld/,decorate,/ˈdek.ər.eɪt/,moonlight,/ˈmuːn.laɪt/,Volkswagen,"/'voʊlks,wæg.ən/",dam,/dæm/,Nebraska,/nəˈbræs.kə/,fed,/ˈfɛd/,,
what,/wɑːt/,while,/waɪl/,ornaments,/ˈɔːr.nə.mənts/,morbid,/ˈmɔːr.bɪd/,Adidas,/ə'di.dəs/,"damn ",/dæm/,Nevada,/nəˈvɑː.də/,polite,/pəˈlaɪt/,,
go,/ɡoʊ/,mean,/miːn/,angel,/ˈeɪn.dʒəl/,nightmare,/ˈnaɪt.mer/,Armani,/ɑr'mɑn.i/,dear,/dɪr/,New Hampshire,/ˌnuː ˈhæmp.ʃɚ/,down,/ˈdaʊn/,,
their,/ðer/,on,/ɑːn/,nutcracker,/ˈnʌtˌkræk.ɚ/,"phantom ",/ˈfæn.t̬əm/,Burberry,/'bɝ.ber.i/,"deer ",/dɪr/,New Jersey,/ˌnuː ˈdʒɝː.zi/,frown,/ˈfraʊn/,,
can,/kæn/ /kən/,keep,/kiːp/,candle,/ˈkæn.dəl/,poltergeist,/ˈpoʊl.t̬ɚ.ɡaɪst/,Calvin Klein,"/’kæl.vɪn,klaɪn/",disc,/dɪsk/,New Mexico,/ˌnuː ˈmek.sɪ.koʊ/,gown,/ˈgaʊn/,,
who,/huː/,student,/ˈstuː.dənt/,tinsel,/ˈtɪn.səl/,scary,/ˈsker.i/,Christian Dior,"/'krɪs.tɪn.di,ɔr/","disk ",/dɪsk/,New York,/ˌnuː ˈjɔːrk/,round,/ˈraʊnd/,,
get,/ɡet/,why,/waɪ/,poinsettia,/ˌpɔɪnˈset̬.i.ə/,scream,/skriːm/,Columbia,/kəˈlʌm.bi.ə/,gym,/dʒɪm/,North Carolina,/ˌnɔːrθ ker.əˈlaɪ.nə/,sound,/ˈsaʊnd/,,
if,/ɪf/,let,/let/,wreath,/riːθ/,shiver,/ˈʃɪv.ɚ/,Converse,/ˈkɒn.vɜːs/,Jim,/dʒɪm/,North Dakota,/ˌnɔːrθ dəˈkoʊ.t̬ə/,sounds,/saʊndz/,,
would,/wʊd/ /wəd/ /əd/,great,/ɡreɪt/,holly,/ˈhɑː.li/,spell,/spel/,GAP,/ɡæp/,ate,/eɪt/,Ohio,/oʊˈhaɪ.oʊ/,bowl,/ˈboʊl/,,
my,/maɪ/,same,/seɪm/,candy cane,/ˈkæn.di ˌkeɪn/,spirit,/ˈspɪr.ət/,Gucci,/'gu.tʃi/,eight,/eɪt/,Oklahoma,/oʊ.kləˈhoʊ.mə/,lawyer," /ˈlojɚ/",,
make,/meɪk/,big,/bɪɡ/,lights,/laɪts/,spooky,/ˈspuː.ki/,H&M,"/'eɪtʃ.en,em/",flea,/fliː/,Oregon,/ˈɔːr.ɪ.ɡən/,period,/ˈpɪr.i.əd/,,
know,/noʊ/,group,/ɡruːp/,star,/stɑːr/,supernatural,/ˌsuː.pɚˈnætʃ.ɚ.əl/,Levi's,"/'li,vaɪz/",flee,/fliː/,Pennsylvania,/ˌpen.səlˈveɪ.ni.ə/,query,/ˈkwɪr.i/,,
will,/wɪl/,begin,/bɪˈɡɪn/,chimney,/ˈtʃɪm.ni/,superstition,/ˌsuː.pɚˈstɪʃ.ən/,Louis Vuitton,"/'lu.i.və,tɑn/","flew ",/fluː/,Rhode Island,/ˌroʊd ˈaɪ.lənd/,theory," /ˈθɪr.i/",,
up,/ʌp/,seem,/siːm/,fireplace,/ˈfaɪr.pleɪs/,wicked,/ˈwɪk.ɪd/,Nike,/ˈnaɪ.ki/,flu,/fluː/,South Carolina,/ˌsaʊθ ker.əˈlaɪ.nə/,character,/ˈkɛr.ək.tɚ/,,
time,/taɪm/,country,/ˈkʌn.tri/,stocking stuffer,/ˈstɑː.kɪŋ ˌstʌf.ɚ/,witchcraft,/ˈwɪtʃ.kræft/,OLD NAVY,"/'oʊld,neɪ.vi/",for,/fɔːr/,South Dakota,/ˌsaʊθ dəˈkoʊ.t̬ə/,characteristic,/ˌkɛr.ək.təˈrɪs.tɪk/,,
year,/jɪr/,help,/help/,firewood,/ˈfaɪr.wʊd/,bat,/bæt/,Pandora,/pæn'dɔr.ə/,"four ",/fɔːr/,Tennessee,/ten.əˈsiː/,version,/ˈvɝː.ʒən/,,
think,/θɪŋk/,talk,/tɑːk/,gift,/ɡɪft/,beast,/biːst/,Polo Ralph Lauren,"/'poʊ.loʊ,rælf.lɚ'en/",forth,/fɔːrθ/,Texas,/ˈtek.səs/,cellar,/ˈsɛlɚ/,,
which,/wɪtʃ/,turn,/tɝːn/,shopping,/ˈʃɑː.pɪŋ/,candle,/ˈkæn.dəl/,Prada,/'prɑ.də/,fourth,/fɔːrθ/,Utah,/ˈjuː.tɑː/,pattern,/ˈpætɚn/,,
them,/ðem/ /ðəm/,problem,/ˈprɑː.bləm/,card,/kɑːrd/,casket,/ˈkæs.kɪt/,PUMA,/ˈpuː.mə/,fair,/fer/,Vermont,/vɚˈmɑːnt/,dwarf,/dwɔːrf/,,
some,/sʌm/,every,/ˈev.ri/,wrap,/ræp/,cauldron,/ˈkɑːl.drən/,Reebok,/'ri.bɑk/,"fare ",/fer/,Virginia,/vɚˈdʒɪn.jə/,modifier,/ˈmɑː.də.faɪ.ɚ/,,
me,/miː/ /mi/,start,/stɑːrt/,wrapping paper,/ˈræp.ɪŋ ˌpeɪ.pɚ/,cobweb,/ˈkɑːb.web/,Timberland,/ˈtɪm.bɚ.lənd/,fir,/ˈfɝː/,Washington,/ˈwɑː.ʃɪŋ.tən/,multiplier,/ˈmʌltɪplaɪər/,,
people,/ˈpiː.pəl/,hand,/hænd/,package,/ˈpæk.ɪdʒ/,coffin,/ˈkɑː.fɪn/,Tommy Hilfiger,"/'tɑm.i,hɪl.fɪg.ɚ/","fur ",/ˈfɝː/,West Virginia,/ˌwest vɚˈdʒɪn.jə/,purifier,/ˈpjʊr.ə.faɪ.ɚ/,,
take,/teɪk/,might,/maɪt/,toy,/tɔɪ/,corpse,/kɔːrps/,Under Armour,"/ˈʌn.dɚ,ɑr.mɚ/",hi,/haɪ/,Wisconsin,/wɪˈskɑːn.sən/,corridor,/ˈkɔːr.ə.dɚ/,,
into,/ˈɪn.tuː/,show,/ʃoʊ/,exchange,/ɪksˈtʃeɪndʒ/,crypt,/krɪpt/,Victoria's Secret,"/vɪkˈtɔːr.i.əz,si.krət/",high,/haɪ/,Wyoming,/waɪˈoʊ.mɪŋ/,narrator,/ˈnɛr.eɪ.t̬ɚ/,,
just,/dʒʌst/,part,/pɑːrt/,present,/ˈprez.ənt/,eyeballs,/ˈaɪbɔːlz/,Zara,/'zɑr.ɚ/,hay,/heɪ/,,,supermarket,/ˈsuː.pɚˌmɑːr.kɪt/,,
see,/siː/,about,/əˈbaʊt/,unwrap,/ʌnˈræp/,ghost,/ɡoʊst/,Cadbury,/'kæd.ber.i/,hey,/heɪ/,,,carpenter,/ˈkɑːr.pɪn.t̬ɚ/,,
him,/hɪm/ /ɪm/,against,/əˈɡenst/,holiday,/ˈhɑː.lə.deɪ/,goblin,/ˈɡɑː.blɪn/,Campbell's,/'kæm.blz/,heal,/hiːl/,,,conspirator,/kənˈspɪr.ə.t̬ɚ/,,
your,/jʊr/ /jɚ/,place,/pleɪs/,celebrate,/ˈsel.ə.breɪt/,grave,/ɡreɪv/,Coca-Cola,/ˌkoʊ.kəˈkoʊ.lə/,"heel ",/hiːl/,,,perform,/pɚˈfɔːrm/,,
come,/kʌm/,over,/ˈoʊ.vɚ/,celebration,/ˌsel.əˈbreɪ.ʃən/,gravestone,/ˈɡreɪv.stoʊn/,Dr. Pepper,"/,dɔk.tɚ'pep.ɚ/",hole,/hoʊl/,,,arbitrary,/ˈɑːr.bə.trɛr.i/,,
could,/kʊd/ /kəd/,such,/sʌtʃ/,champagne,/ʃæmˈpeɪn/,headstone,/ˈhed.stoʊn/,Dunkin Donuts,"/,dʌn.kɪn'doʊ.nəts/",whole,/hoʊl/,,,conservatory,/kənˈsɝː.və.tɔːr.i/,,
now,/naʊ/,again,/əˈɡen/,bubbly,/ˈbʌb.li/,jack-o'-lantern,/ˌdʒæk.əˈlæn.tɚn/,Heinz,/haɪnz/,howl,/hoʊl/,,,observatory,/əbˈzɝː.və.tɔːr.i/,,
than,/ðæn/,few,/fjuː/,gingerbread,/ˈdʒɪn.dʒɚ.bred/,mist,/mɪst/,Hershey's,/hɝ.ʃiz/,hall,/hɑːl/,,,forlorn,/fɚˈlɔːrn/,,
other,/ˈʌð.ɚ/,most,/moʊst/,eggnog,/ˈeɡ.nɑːɡ/,monster,/ˈmɑːn.stɚ/,Kinder,/'kɪn.dɚ/,haul,/hɑːl/,,,juror,/ˈdʒʊr.ɚ/,,
how,/haʊ/,week,/wiːk/,fruitcake,/ˈfruːt.keɪk/,mummy,/ˈmʌm.i/,Lay's,/leɪz/,heard,/hɝːd/,,,lecturer,/ˈlek.tʃɚ.ɚ/,,
then,/ðen/,company,/ˈkʌm.pə.ni/,pie,/paɪ/,pumpkin,/ˈpʌmp.kɪn/,Mars,/mɑːrz/,herd,/hɝːd/,,,manufacturer,/ˌmæn.jəˈfæk.tʃɚ.ɚ/,,
our,/ˈaʊ.ɚ/ /aʊr/,where,/wer/,cider,/ˈsaɪ.dɚ/,scarecrow,/ˈsker.kroʊ/,Mountain Dew,"/ˈmaʊntn̩ 'du/ ",him,/hɪm/,,,oratory,/ˈɔːr.ə.tɔːr.i/,,
two,/tuː/,system,/ˈsɪs.təm/,cookie,/ˈkʊk.i/,skeleton,/ˈskel.ə.t̬ən/,Nestlé,/'nes.li/,hymn,/hɪm/,,,thunderstorm,/ˈθʌn.dɚ.stɔːrm/,,
these,/ðiːz/,each,/iːtʃ/,sugarplum,/ˈʃʊɡ.ɚ.plʌm/,skull,/skʌl/,Nutella,/nə'tel.ə/,hear,/hɪr/,,,wherever,/werˈev.ɚ/,,
want,/wɑːnt/,program,/ˈproʊ.ɡræm/,hot chocolate,/ˌhɑːt ˈtʃɑːk.lət/,spider,/ˈspaɪ.dɚ/,Oreo,"/'ɔr.i,oʊ/",here,/hɪr/,,,moreover,/ˌmɔːrˈoʊ.vɚ/,,
way,/weɪ/,hear,/hɪr/,Santa Claus,/ˈsæn.t̬ə ˌklɑːz/,tomb,/tuːm/,Pepsi,/'pep.si/,close,/kloʊz/,,,television,/ˈtɛləˌvɪʒən/,,
look,/lʊk/,so,/soʊ/,North Pole,/ˌnɔːrθ ˈpoʊl/,tombstone,/ˈtuːm.stoʊn/,Red Bull,"/'red,bʊl/",clothes,/kloʊðz/,,,equipment,/ɪˈkwɪpmənt/,,
first,/ˈfɝːst/,question,/ˈkwes.tʃən/,jingle,/ˈdʒɪŋ.ɡəl/,blood,/blʌd/,Reese's,/'ri.sɪz/,lie,/laɪ/,,,drugstore,/ˈdrʌɡ.stɔːr/,,
also,/ˈɑːl.soʊ/,during,/ˈdʊr.ɪŋ/,bells,/belz/,broomstick,/ˈbruːm.stɪk/,Starbucks,"/'stɑr,bʌks/",lye,/laɪ/,,,hundred,/ˈhʌn.drəd/,,
new,/nuː/,work,/wɝːk/,reindeer,/ˈreɪn.dɪr/,candy,/ˈkæn.di/,Trident,/ˈtraɪ.dənt/,loan,/loʊn/,,,corkscrew,/ˈkɔːrk.skruː/,,
because,/bɪˈkʌz/,play,/pleɪ/,elf,/elf/,cape,/keɪp/,Wrigley's,/'rɪg.liz/,lone,/loʊn/,,,gradually,/ˈɡrædʒ.u.ə.li/,,
day,/deɪ/,government,/ˈɡʌv.ɚn.mənt/,elves,/elvz/,carve,/kɑːrv/,Yoplait,/'joʊ.pleɪ/,lead,/liːd/,,,grandchild,/ˈɡræn.tʃaɪld/,,
more,/mɔːr/,run,/rʌn/,Christmas Eve,/ˌkrɪs.məs ˈiːv/,cloak,/kloʊk/,Adobe,/əˈdoʊ.bi/,led,/led/,,,swim,/swɪm/,,
use,/juːz/,small,/smɑːl/,carols,/ˈker.əlz/,clown,/klaʊn/,Alibaba,"/,æl.i'ba.ba/",mount,/maʊnt/,,,warm,/wɔːrm/,,
no,/noʊ/,number,/ˈnʌm.bɚ/,naughty,/ˈnɑː.t̬i/,costume,/ˈkɑː.stuːm/,Amazon,/ˈæm.ə.zɑːn/,Mt.,/maʊnt/,,,wing,/wɪŋ/,,
man,/mæn/,off,/ɑːf/,Scrooge,/skruːdʒ/,crown,/kraʊn/,Apple,/ˈæp.əl/,made,/meɪd/,,,sing,/sɪŋ/,,
find,/faɪnd/,always,/ˈɑːl.weɪz/,visit,/ˈvɪz.ɪt/,demon,/ˈdiː.mən/,Canon,/ˈkæn.ən/,maid,/meɪd/,,,singing,/ˈsɪŋ.ɪŋ/,,
here,/hɪr/,move,/muːv/,family,/ˈfæm.əl.i/,devil,/ˈdev.əl/,Dell,/del/,mail,/meɪl/,,,sting,/stɪŋ/,,
thing,/θɪŋ/,like,/laɪk/,festive,/ˈfes.tɪv/,Dracula,/ˈdrækjələ/,eBay,"/'i,beɪ/",male,/meɪl/,,,stinging,/stɪŋɪŋ/,,
give,/ɡɪv/,night,/naɪt/,jolly,/ˈdʒɑː.li/,eyepatch,/ˈaɪ.pætʃ/,Facebook,/ˈfeɪs.bʊk/,meat,/miːt/,,,tang,/tæŋ/,,
many,/ˈmen.i/,live,/lɪv/,clock,/klɑːk/,fairy,/ˈfer.i/,Google,/ˈɡuː.ɡəl/,meet,/miːt/,,,tanging,/tæŋɪŋ/,,
well,/wel/,point,/pɔɪnt/,countdown,/ˈkaʊnt.daʊn/,fangs,/fæŋ/,Hewlett Packard,"/,hju.lət'pæk.ɚ.d/",march,/mɑːrtʃ/,,,scientists,/ˈsaɪən.tɪst/,,
those,/ðoʊz/,believe,/bɪˈliːv/,twelve,/twelv/,"Frankenstein ",/ˈfræŋ.kən.staɪn/,Huawei,/'wɑ.weɪ/,March,/mɑːrtʃ/,,,syllables,/ˈsɪl.ə.bəlz/,,
tell,/tel/,hold,/hoʊld/,midnight,/ˈmɪd.naɪt/,gory,/ˈɡɔːr.i/,IBM,"/,ɑɪ.bi'em/",missed,/mɪst/,,,adventure,/ədˈven.tʃɚ/,,
one,/wʌn/,today,/təˈdeɪ/,wish,/wɪʃ/,gown,/ɡaʊn/,Intel,/'ɪn.tel/,mist,/mɪst/,,,anyhow,/ˈen.i.haʊ/,,
very,/ˈver.i/,bring,/brɪŋ/,kiss,/kɪs/,hayride,/ˈheɪ.raɪd/,Microsoft,"/'mɑɪ.krə,sɔft/",know,/noʊ/,,,quart,/kwɔːrt/,,
her,/hɝː/ /hɚ/ /ɚ/,happen,/ˈhæp.ən/,cheers,/tʃɪrz/,prank,/præŋk/,NETFLIX,/'net.flɪks/,no,/noʊ/,,,vowel,"/vaʊəl/ ",,
even,/ˈiː.vən/,next,/nekst/,toast,/toʊst/,pretend,/prɪˈtend/,Nikon,/'nɑi.kɔn/,knows,/noʊz/,,,million,/ˈmɪl.jən/,,
any,/ˈen.i/,without,/wɪˈðaʊt/,New Year's resolution,/ˌnuː ˌjɪrz ˌrez.əˈluː.ʃən/,prince,/prɪns/,Nintendo,/nɪn'tɪn.doʊ/,nose,/noʊz/,,,pull,/pʊl/,,
good,/ɡʊd/,before,/bɪˈfɔːr/,invitation,/ˌɪn.vəˈteɪ.ʃən/,princess,/prɪnˈses/,Nokia,/'noʊ.ki.ɑ/,knew,/nuː/,,,rapidly,/ˈræp.ɪd.li/,,
woman,/ˈwʊm.ən/,large,/lɑːrdʒ/,guest,/ɡest/,treat,/triːt/,Oracle,/ˈɔːr.ə.kəl/,"new ",/nuː/,,,curriculum,/kəˈrɪk.jə.ləm/,,
through,/θruː/,all,/ɑːl/,confetti,/kənˈfet̬.i/,troll,/troʊl/,Panasonic,"/,pæn.ə'sɑn.ɪk/",knot,/nɑːt/,,,shiver,/ˈʃɪv.ɚ/,,
us,/ʌs/ /əs/,million,/ˈmɪl.jən/,music,/ˈmjuː.zɪk/,vampire,/ˈvæm.paɪr/,Paypal,"/,peɪ'pæl/",not,/nɑːt/,,,clown,/klaʊn/,,
life,/laɪf/,must,/mʌst/ /məst/ /məs/,party,/ˈpɑːr.t̬i/,werewolf,/ˈwer.wʊlf/,Philips,/'fɪl.ɪps/,oh,/oʊ/,,,woman,/ˈwʊm.ən/,,
child,/tʃaɪld/,home,/hoʊm/,dancing,/ˈdæn.sɪŋ/,witch,/wɪtʃ/,Qualcomm,"/'kwɔl,kɑm/",owe,/oʊ/,,,without,/wɪˈðaʊt/,,
there,/ðer/,under,/ˈʌn.dɚ/,hangover,/ˈhæŋˌoʊ.vɚ/,zombie,/ˈzɑːm.bi/,Samsung,"/'sæm,sʌŋ/",peak,/piːk/,,,countdown,/ˈkaʊnt.daʊn/,,
down,/daʊn/,water,/ˈwɑː.t̬ɚ/,,,,,Sony,/'soʊ.ni/,peek,/piːk/,,,twelve,/twelv/,,
"may ",/meɪ/,room,/ruːm/,,,,,Toshiba,/tə'ʃi.bɑ/,peace,/piːs/,,,"counterproductive ",/ˌkaʊn.t̬ɚ.prəˈdʌk.tɪv/,,
should,/ʃʊd/ /ʃəd/,write,/raɪt/,,,,,Uber,/'u.bɚ/,piece,/piːs/,,,motivator,"/ˈmoʊtəˌveɪtɚ/ ",,
call,/kɑːl/,mother,/ˈmʌð.ɚ/,,,,,Verizon,/və'rɑɪ.zən/,plain,/pleɪn/,,,,,,
,,,,,,,,Youtube,/ˈjuː.tuːb/,"plane ",/pleɪn/,,,,,,
