ɪr,ɪr,er(ɛr),er(ɛr),ɝ,ɝ,ɚ,ɚ,ɔr,ɔr,ɑr,ɑr,aɪr,aɪr,Advanced,Advanced
hero,/ˈhɪr.oʊ/,dare,/der/,sir,/sɝː/,future,/ˈfjuːtʃɚ/,forest,/ˈfɔːr.ɪst/,darling,/ˈdɑːr.lɪŋ/,inquire,/ɪnˈkwaɪr/,superstar,/ˈsuː.pɚ.stɑːr/
interior,/ɪnˈtɪr.i.ɚ/,declare,/dɪˈkler/,turn,/tɝːn/,gather,/ˈgæðɚ/,fork,/fɔːrk/,department,/dɪˈpɑːrt.mənt/,conspire,/kənˈspaɪr/,underwater,/ˌʌn.dɚˈwɑː.t̬ɚ/
material,/məˈtɪr.i.əl/,errand,/ˈer.ənd/,work,/wɝːk/,hammer,/ˈhæmɚ/,form,/fɔːrm/,farm,/fɑːrm/,desired,/dɪˈzaɪrd/,underwear,/ˈʌn.dɚ.wɛr/
mirror,/ˈmɪr.ɚ/,error,/ˈer.ɚ/,world,/wɝːld/,honor,"/ˈɑːnɚ/ ",forth,/fɔːrθ/,garbage,/ˈɡɑːr.bɪdʒ/,dire,/daɪr/,airborne,/ˈɛr.bɔːrn/
mysterious,/mɪˈstɪr.i.əs/,fair,/fer/,attorney,/əˈtɝː.ni/,bakery,/ˈbeɪkəri/,glory,/ˈɡlɔːr.i/,garden,/ˈɡɑːr.dən/,firewall,/ˈfaɪə.waːl/,archer,/ˈɑːr.tʃɚ/
near,/nɪr/,hair,/her/,certain,/ˈsɝː.tən/,comfort,/ˈkʌmfɚt/,horn,/hɔːrn/,guard,/ɡɑːrd/,tiresome,/ˈtaɪr.səm/,armor,/ˈɑːr.mɚ/
peer,/pɪr/,library,/ˈlaɪ.brer.i/,circumstance,/ˈsɝː.kəm.stæns/,coward,/ˈkawɚd/,horse,/hɔːrs/,guitar,/ɡɪˈtɑːr/,wiretap,/ˈwaɪr.tæp/,barber,/ˈbɑːr.bɚ/
period,/ˈpɪr.i.əd/,marry,/ˈmer.i/,courage,/ˈkɝː.ɪdʒ/,eastern,/ˈiːstɚn/,inform,/ɪnˈfɔːrm/,hard,/hɑːrd/,vampire,/ˈvæm.paɪr/,barbershop,/ˈbɑːr.bɚ.ʃɑːp/
pier,/pɪr/,military,/ˈmɪl.ə.ter.i/,dessert,/dɪˈzɝːt/,effort,/ˈɛfɚt/,more,/mɔːr/,hardware,/ˈhɑːrd.wer/,empire,/ˈɛmˌpajɚ/,bartender,/ˈbɑːrˌtɛn.dɚ/
query,/ˈkwɪr.i/,pair,/per/,encourage,/ɪnˈkɝː.ɪdʒ/,energy,/ˈɛnɚʤi/,normal,/ˈnɔːr.məl/,harmony,/ˈhɑːr.mə.ni/,sapphire,/ˈsæf.aɪr/,border,/ˈbɔːr.dɚ/
serious,/ˈsɪr.i.əs/,parent,/ˈper.ənt/,furniture,/ˈfɝː.nɪ.tʃɚ/,forward,/ˈfoɚwɚd/,north,/nɔːrθ/,heart,/hɑːrt/,satire,/ˈsæt.aɪr/,carpenter,/ˈkɑːr.pɪn.t̬ɚ/
theory," /ˈθɪr.i/",pear," /per/",hurricane,/ˈhɝː.ɪ.keɪn/,general,/ˈʤɛnrəl/,northern,/ˈnɔːr.ðɚn/,large,/lɑːrdʒ/,denier,/dɪˈnaɪ.ɚ/,character,/ˈkɛr.ək.tɚ/
year,/jɪr/,repair," /rɪˈper/",internal,/ɪnˈtɝː.nəl/,lizard,/ˈlɪzɚd/,order,/ˈɔːr.dɚ/,marble,/ˈmɑːr.bəl/,dryer,/ˈdraɪ.ɚ/,charger,/ˈtʃɑːr.dʒɚ/
zero,/ˈzɪr.oʊ/,scare,/sker/,journey,/ˈdʒɝː.ni/,memory,/ˈmɛməri/,pork,/pɔːrk/,parcel,/ˈpɑːr.səl/,dyer,/ˈdaɪ.ɚ/,conspirator,/kənˈspɪr.ə.t̬ɚ/
,,share,/ʃer/,nervous,/ˈnɝː.vəs/,modern,/ˈmɑːdɚn/,resource,/ˈriː.sɔːrs/,pardon,/ˈpɑːr.dən/,flyer,/ˈflaɪ.ɚ/,farther,/ˈfɑːr.ðɚ/
,,square,/skwer/,observe,/əbˈzɝːv/,natural,/ˈnætʃərəl/,roar,/rɔːr/,park,/pɑːrk/,fryer,/ˈfraɪ.ɚ/,firearm,/ˈfaɪr.ɑːrm/
,,stair,/ster/,perfect,/ˈpɝː.fekt/,operate,/ˈɑːpəˌreɪt/,score,/skɔːr/,part,/pɑːrt/,identifier,/aɪˈdentɪfaɪɚ/,fireworks,/ˈfaɪrˌwɚks/
,,swear,/swer/,personal,/ˈpɝː.sən.əl/,pattern,/ˈpætɚn/,shore,/ʃɔːr/,partner,/ˈpɑːrt.nɚ/,intensifier,/ɪnˈten.sə.faɪ.ɚ/,forearm,/ˈfɔːr.ɑːrm/
,,terrible,/ˈter.ə.bəl/,purpose,/ˈpɝː.pəs,percent,/pɚˈsɛnt/,short,/ʃɔːrt/,party,/ˈpɑːr.t̬i/,magnifier,/ˈmæɡ.nɪ.faɪ.ɚ/,forever,/fɔːˈrɛv.ɚ/
,,their,/ðer/,research,/ˈriː.sɝːtʃ/,perfect,/ˈpɚfɪkt/,sport,/spɔːrt/,scar,/skɑːr/,modifier,/ˈmɑː.də.faɪ.ɚ/,forward,/ˈfɔːr.wɚd/
,,wear,/wer/,service,/ˈsɝː.vɪs/,perhaps,/pɚˈhæps/,storm,/stɔːrm/,star,/stɑːr/,multiplier,/ˈmʌltɪplaɪər/,garter,/ˈɡɑːr.t̬ɚ/
,,wheelchair,/ˈwiːl.tʃer/,thirsty,/ˈθɝː.sti/,upward,/ˈʌpwɚd/,unicorn,/ˈjuː.nɪ.kɔːrn/,start,/stɑːrt/,purifier,/ˈpjʊr.ə.faɪ.ɚ/,martyr,/ˈmɑːr.t̬ɚ/
,,wherever,/werˈev.ɚ/,universe,/ˈjuː.nə.vɝːs/,western,/ˈwɛstɚn/,warm,/wɔːrm/,tardy,/ˈtɑːr.di/,qualifier,/ˈkwɑː.lə.faɪ.ɚ/,observer,/əbˈzɝː.vɚ/
,,,,version,/ˈvɝː.ʒən/,yogurt,"/ˈjoʊgɚt/ ",,,yard,/jɑːrd/,supplier,/səˈplaɪ.ɚ/,perform,/pɚˈfɔːrm/
,,,,,,dollar,/ˈdɑːlɚ/,,,,,,,superior,/səˈpɪr.i.ɚ/
,,,,,,color,"/ˈkʌlɚ/ ",,,,,,,therefore,/ˈðɛr.fɔːr/
,,,,,,nature,/ˈneɪtʃɚ/,,,,,,,adversary,/ˈæd.vɚ.sɛr.i/
,,,,,,future,/ˈfjuːtʃɚ/,,,,,,,arbitrary,/ˈɑːr.bə.trɛr.i/
,,,,,,mayor,/ˈmejɚ/,,,,,,,barbarian,/bɑːrˈbɛr.i.ən/
,,,,,,,,,,,,,,barbaric,/bɑːrˈbɛr.ɪk/
,,,,,,,,,,,,,,barrier,/ˈbɛr.i.ɚ/
,,,,,,,,,,,,,,barrister,/ˈbɛr.ə.stɚ/
,,,,,,,,,,,,,,borderline,/ˈbɔːr.dɚ.laɪn/
,,,,,,,,,,,,,,burger,/ˈbɝː.ɡɚ/
,,,,,,,,,,,,,,carrier,/ˈkɛr.i.ɚ/
,,,,,,,,,,,,,,characteristic,/ˌkɛr.ək.təˈrɪs.tɪk/
,,,,,,,,,,,,,,circular,/ˈsɝː.kjə.lɚ/
,,,,,,,,,,,,,,conservatory,/kənˈsɝː.və.tɔːr.i/
,,,,,,,,,,,,,,corner,/ˈkɔːr.nɚ/
,,,,,,,,,,,,,,courier,/ˈkʊr.i.ɚ/
,,,,,,,,,,,,,,emperor,/ˈem.pɚ.ɚ/
,,,,,,,,,,,,,,enforcer,/ɪnˈfɔːr.sɚ/
,,,,,,,,,,,,,,error,/ˈer.ɚ/
,,,,,,,,,,,,,,evermore,/ˌev.ɚˈmɔːr/
,,,,,,,,,,,,,,explorer,/ɪkˈsplɔːr.ɚ/
,,,,,,,,,,,,,,exterior,/ɪkˈstɪr.i.ɚ/
,,,,,,,,,,,,,,forlorn,/fɚˈlɔːrn/
,,,,,,,,,,,,,,further,/ˈfɝː.ðɚ/
,,,,,,,,,,,,,,furthermore,/ˈfɝː.ðɚ.mɔːr/
,,,,,,,,,,,,,,harbor,/ˈhɑːr.bɚ/
,,,,,,,,,,,,,,inferior,/ɪnˈfɪr.i.ɚ/
,,,,,,,,,,,,,,juror,/ˈdʒʊr.ɚ/
,,,,,,,,,,,,,,lecturer,/ˈlek.tʃɚ.ɚ/
,,,,,,,,,,,,,,manufacturer,/ˌmæn.jəˈfæk.tʃɚ.ɚ/
,,,,,,,,,,,,,,mercenary,/ˈmɝː.sən.ri/
,,,,,,,,,,,,,,merger,/ˈmɝː.dʒɚ/
,,,,,,,,,,,,,,mirror,/ˈmɪr.ɚ/
,,,,,,,,,,,,,,moreover,/ˌmɔːrˈoʊ.vɚ/
,,,,,,,,,,,,,,northern,/ˈnɔːr.ðɚn/
,,,,,,,,,,,,,,nurture,/ˈnɝː.tʃɚ/
,,,,,,,,,,,,,,observatory,/əbˈzɝː.və.tɔːr.i/
,,,,,,,,,,,,,,orator,/ˈɔːr.ə.t̬ɚ/
,,,,,,,,,,,,,,oratory,/ˈɔːr.ə.tɔːr.i/
,,,,,,,,,,,,,,orchard,/ˈɔːr.tʃɚd/
,,,,,,,,,,,,,,order,/ˈɔːr.dɚ/
,,,,,,,,,,,,,,ordinary,/ˈɔːr.dən.ɛr.i/
,,,,,,,,,,,,,,parlor,/ˈpɑːr.lɚ/
,,,,,,,,,,,,,,partner,/ˈpɑːrt.nɚ/
,,,,,,,,,,,,,,server,/ˈsɝː.vɚ/
,,,,,,,,,,,,,,terror,/ˈter.ɚ/
,,,,,,,,,,,,,,purifier,/ˈpjʊr.ə.faɪ.ɚ/
,,,,,,,,,,,,,,survivor,/sɚˈvaɪ.vɚ/
,,,,,,,,,,,,,,territory,/ˈtɛr.ə.tɔːr.i/
,,,,,,,,,,,,,,thunderbird,/ ˈθʌndərbɜːrd /
,,,,,,,,,,,,,,thunderstorm,/ˈθʌn.dɚ.stɔːrm/
,,,,,,,,,,,,,,treasurer,/ˈtreʒ.ɚ.ɚ/
,,,,,,,,,,,,,,horror,/ˈhɔːr.ɚ/
,,,,,,,,,,,,,,warrior,/ˈwɔːr.i.ɚ/
,,,,,,,,,,,,,,wherever,/werˈev.ɚ/
