eɪ,eɪ,eɪ & ɛ,eɪ & ɛ,eɪ & æ,eɪ & æ,aɪ,aɪ,aʊ,aʊ,oʊ,oʊ,oʊ & ɔ,oʊ & ɔ,ɔɪ,ɔɪ
bracelet,/ˈbreɪslət/,men,/ˈmɛn/,lamb,/ˈlæm/,prize,/ˈpraɪz/,thousand,/ˈθaʊzənd/,crow,/ˈkroʊ/,law,/ˈlɑː/,point,/pɔɪnt/
braided,/ˈbreɪdəd/,pain,/ˈpeɪn/,made,/ˈmeɪd/,quiet,/ˈkwaɪ.ət/ /ˈkwajət/,towel,/ˈtaʊl/,don't,/ˈdoʊnt/,oat,/ˈoʊt/,poison,/ˈpɔɪ.zən/
brain,/ˈbreɪn/,pen,/ˈpɛn/,mad,/ˈmæd/,remind,/rɪˈmaɪnd/,vowel,/vaʊəl/ /ˈvawəl/,dope,/ˈdoʊp/,ought,/ˈɑːt/,royal,/ˈrɔɪ.əl/ /ˈrɔj.əl/
brake,/ˈbreɪk/,rake,/ˈreɪk/,pace,/ˈpeɪs/,style,/staɪl/ /ˈstajəl/,amount,/əˈmaʊnt/,dough,/ˈdoʊ/,own,/ˈoʊn/,soil,/sɔɪl/ /ˈsɔjəl/
brave,/ˈbreɪv/,wreck,/ˈrɛk/,pass,/ˈpæs/,buy,/ˈbaɪ/,bounce,/ˈbaʊns/,doze,/ˈdoʊz/,on,/ˈɑːn/,soy,/sɔɪ/
break,/ˈbreɪk/,sail,/ˈseɪl/,pale,/ˈpeɪl/,cry,/ˈkraɪ/,brown,/ˈbraʊn/,drove,ˈdroʊv/,row,/ˈroʊ/,spoil,/spɔɪl/ /ˈspɔjəl/
cable,/ˈkeɪbəl/,sell,/ˈsɛl/,pal,/ˈpæl/,dry,/ˈdraɪ/,clown,/ˈklaʊn/,euro,/ˈjuroʊ/,raw,/ˈrɑː/,toilet,/ˈtɔɪ.lət/
cage,/ˈkeɪʤ/,saint,/ˈseɪnt/,paste,/ˈpeɪst/,fly,/ˈflaɪ/,count,/ˈkaʊnt/,float,/ˈfloʊt/,sew,/ˈsoʊ/,toy,/tɔɪ/
cake,/ˈkeɪk/,sent,/ˈsɛnt/,past,/ˈpæst/,fry,/ˈfraɪ/,down,/ˈdaʊn/,flow,/ˈfloʊ/,saw,/ˈsɑː/,voice,/vɔɪs/
came," /ˈkeɪm/",,,,,guy,/ˈgaɪ/,downtown,/ˌdaʊnˈtaʊn/,foam,/ˈfoʊm/,stole,/ˈstoʊl/,void,/vɔɪd/
,,,,,,high,/ˈhaɪ/,drown,/ˈdraʊn/,fold,/ˈfoʊld/,stall,/ˈstɑːl/,voyage,/ˈvɔɪ.ɪdʒ/ /ˈvɔjɪʤ/
,,,,,,July,/ʤʊˈlaɪ/,found,/ˈfaʊnd/,,,,,,
,,,,,,pie,/ˈpaɪ/,frown,/ˈfraʊn/,,,,,,
,,,,,,reply,/rɪˈplaɪ/,gown,/ˈgaʊn/,,,,,,
,,,,,,shy,/ˈʃaɪ/,ground,/ˈgraʊnd/,,,,,,
,,,,,,sigh,/ˈsaɪ/,noun,/ˈnaʊn/,,,,,,
,,,,,,sky,/ˈskaɪ/,playground,/ˈpleɪˌgraʊnd/,,,,,,
,,,,,,spy,/ˈspaɪ/,pound,/ˈpaʊnd/,,,,,,
,,,,,,tie,/ˈtaɪ/,round,/ˈraʊnd/,,,,,,
,,,,,,try,/ˈtraɪ/,sound,/ˈsaʊnd/,,,,,,
,,,,,,why,/ˈwaɪ/,town,/ˈtaʊn/,,,,,,
